Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c16_s32_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.02,0.2,0.0024847875,2.4985262e-05,0.004969575,12980.93
l_d16_c16_s32_cost0.1_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.25,0.001,0.07614987,4.0148398e-06,0.15229975,12988.2
l_d16_c16_s32_cost0.1_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.25,0.01,0.03463366,1.6705762e-05,0.06926732,12988.26
l_d16_c16_s32_cost0.1_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.25,0.05,0.0094897365,2.5024654e-05,0.018979473,12984.33
l_d16_c16_s32_cost0.1_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.25,0.2,0.002530674,2.480471e-05,0.005061348,12985.11
l_d16_c16_s4_cost0.01_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,4.0,16.0,16.0,0.01,0.001,0.02,0.001,0.24654938,1.4409302e-05,0.49309877,12988.4
l_d16_c16_s4_cost0.01_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,4.0,16.0,16.0,0.01,0.001,0.02,0.01,0.070950344,4.203917e-05,0.14190069,12978.6
l_d16_c16_s4_cost0.01_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,4.0,16.0,16.0,0.01,0.001,0.02,0.05,0.009911868,2.9205708e-05,0.019823736,12986.0
l_d16_c16_s4_cost0.01_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,4.0,16.0,16.0,0.01,0.001,0.02,0.2,0.0026292182,3.0519877e-05,0.0052584363,12986.34
l_d16_c16_s4_cost0.01_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,4.0,16.0,16.0,0.01,0.001,0.25,0.001,0.27349222,1.6592587e-05,0.54698443,12986.93
l_d16_c16_s4_cost0.01_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,4.0,16.0,16.0,0.01,0.001,0.25,0.01,0.084081106,5.064615e-05,0.16816221,12973.48
l_d16_c16_s4_cost0.01_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,4.0,16.0,16.0,0.01,0.001,0.25,0.05,0.011023036,3.2012933e-05,0.022046072,12985.93
l_d16_c16_s4_cost0.01_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,4.0,16.0,16.0,0.01,0.001,0.25,0.2,0.0025669115,2.8931077e-05,0.005133823,12992.33
l_d16_c16_s4_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.02,0.001,0.06335728,3.6210834e-06,0.12671456,12986.16
l_d16_c16_s4_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.02,0.01,0.037154302,2.1614447e-05,0.074308604,12983.46
l_d16_c16_s4_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.02,0.05,0.01071245,3.1332635e-05,0.0214249,12978.3
l_d16_c16_s4_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.02,0.2,0.002704222,3.09321e-05,0.005408444,12985.49
l_d16_c16_s4_cost0.1_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.25,0.001,0.07180608,4.4496824e-06,0.14361216,12986.79
l_d16_c16_s4_cost0.1_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.25,0.01,0.03398573,2.059949e-05,0.06797146,12974.25
l_d16_c16_s4_cost0.1_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.25,0.05,0.009841452,2.7657943e-05,0.019682905,12980.5
l_d16_c16_s4_cost0.1_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.25,0.2,0.0024032649,2.9771216e-05,0.0048065297,12982.71
