Experiment,spite_sigma,comp_sigma,diff_sigma,cost,average_n_individuals,average_mean_spite,average_max_spite,average_sd_spite,average_mean_density,final_spite_10_quantile,final_spite_25_quantile,final_spite_50_quantile,final_spite_75_quantile,final_spite_90_quantile
d8_c4_s4_cost0.005_resTrue,4.0,4.0,8.0,0.005,14686.69812,7.415664,8.263873,0.31330204,0.4815195,8.600014686584473,8.800015449523926,8.950016021728516,9.050016403198242,9.150016784667969
d8_c4_s4_cost0.1_resTrue,4.0,4.0,8.0,0.1,14653.815693333334,0.47773802,0.84448326,0.10495596,0.03096764,0.3500000238418579,0.40000003576278687,0.4500000476837158,0.5500000715255737,0.6000000834465027
d8_c4_s4_cost1_resTrue,4.0,4.0,8.0,1.0,14978.546713333333,-0.8100048,-0.09347329,0.2760309,1.2564568e-06,-1.149999976158142,-1.0000001192092896,-0.8000000715255737,-0.550000011920929,-0.3999999761581421
d8_c4_s8_cost0.005_resTrue,8.0,4.0,8.0,0.005,14687.38122,8.2242155,8.994677,0.33529994,0.4751887,9.250017166137695,9.550018310546875,9.800019264221191,10.000020027160645,10.100020408630371
d8_c4_s8_cost0.1_resTrue,8.0,4.0,8.0,0.1,14662.266286666667,0.49473605,0.87457794,0.10678952,0.028543122,0.40000003576278687,0.4500000476837158,0.5000000596046448,0.6000000834465027,0.6500000953674316
d8_c4_s8_cost1_resTrue,8.0,4.0,8.0,1.0,14978.630273333334,-2.1872456,-0.7550523,0.5213944,2.927412e-08,-3.699997663497925,-3.5499978065490723,-3.2999980449676514,-3.149998188018799,-1.8999992609024048
d8_c8_s4_cost0.005_resTrue,4.0,8.0,8.0,0.005,13194.33624,7.2764516,8.129961,0.35498938,0.43194517,8.750015258789062,8.950016021728516,9.150016784667969,9.350017547607422,10.150020599365234
d8_c8_s4_cost0.1_resTrue,4.0,8.0,8.0,0.1,13180.94644,0.4354277,0.7951268,0.10317936,0.025828898,0.30000001192092896,0.3500000238418579,0.40000003576278687,0.4500000476837158,0.5500000715255737
d8_c8_s4_cost1_resTrue,4.0,8.0,8.0,1.0,13327.8505,-1.1762288,-0.07083338,0.53585446,3.138693e-06,-1.3499999046325684,-1.25,-0.9500002264976501,-0.4500001072883606,-0.30000007152557373
d8_c8_s8_cost0.005_resTrue,8.0,8.0,8.0,0.005,13214.15102,6.117881,6.756906,0.26633236,0.31912842,7.000008583068848,7.250009536743164,7.550010681152344,7.700011253356934,7.80001163482666
d8_c8_s8_cost0.1_resTrue,8.0,8.0,8.0,0.1,13183.630053333334,0.44842964,0.82071155,0.1037853,0.02334254,0.30000001192092896,0.3500000238418579,0.4500000476837158,0.5000000596046448,0.6000000834465027
d8_c8_s8_cost1_resTrue,8.0,8.0,8.0,1.0,13327.9471,-1.8849683,-0.86352426,0.40275908,1.4127407e-07,-2.1499991416931152,-1.949999213218689,-1.7499994039535522,-1.5999995470046997,-1.3499997854232788
